Χοχότ;CN;Asia;China;;Χοχότ (HET);HET
Χοχότ;CN;Asia;China;;Χοχότ (OHH);OHH
Χοτάν;CN;Asia;China;;Χοτάν (HTN);HTN
Χουανγκγιάν;CN;Asia;China;;Χουανγκγιάν (HYN);HYN
Ji An;CN;Asia;China;Jing Gang Shan;Ji An - Jing Gang Shan (JGS);JGS
Τζιαμουσί;CN;Asia;China;;Τζιαμουσί (JMU);JMU
Τζιαγουγκουάν;CN;Asia;China;;Τζιαγουγκουάν (JGN);JGN
Τζινάν;CN;Asia;China;;Τζινάν (TNA);TNA
Τζινγκντεζέν;CN;Asia;China;;Τζινγκντεζέν (JDZ);JDZ
Τζινγκόνγκ;CN;Asia;China;;Τζινγκόνγκ (JHG);JHG
Jining;CN;Asia;China;Jining Airport;Jining - Jining Airport (JNG);JNG
Τζινγιάνγκ;CN;Asia;China;;Τζινγιάνγκ (JJN);JJN
Τζινζού;CN;Asia;China;;Τζινζού (JNZ);JNZ
Jiujiang;CN;Asia;China;Jiujiang Airport;Jiujiang - Jiujiang Airport (JIU);JIU
Τζουζού;CN;Asia;China;;Τζουζού (JUZ);JUZ
Korla;CN;Asia;China;;Korla (KRL);KRL
Κουνμίνγκ;CN;Asia;China;Kunming Airport;Κουνμίνγκ - Kunming Airport (KMG);KMG
Λανζού;CN;Asia;China;;Λανζού (ZGC);ZGC
Λανζού;CN;Asia;China;;Λανζού (LHW);LHW
Λάσα;CN;Asia;China;;Λάσα (LXA);LXA
Λιανγιουνγκάνγκ;CN;Asia;China;;Λιανγιουνγκάνγκ (LYG);LYG
Λιτζιάνγκ ;CN;Asia;China;;Λιτζιάνγκ  (LJG);LJG
Λινγί;CN;Asia;China;;Λινγί (LYI);LYI
Λιουζού;CN;Asia;China;;Λιουζού (LZH);LZH
Λουογιάνγκ;CN;Asia;China;;Λουογιάνγκ (LYA);LYA
Λουξί;CN;Asia;China;;Λουξί (LUM);LUM
Λουζού;CN;Asia;China;;Λουζού (LZO);LZO
Μακάο;CN;Asia;China;;Μακάο (MFM);MFM
Manzhouli;CN;Asia;China;;Manzhouli (NZH);NZH
Μεϊξιάν;CN;Asia;China;;Μεϊξιάν (MXZ);MXZ
Μουνταντζιάνγκ;CN;Asia;China;;Μουνταντζιάνγκ (MDG);MDG
Νάντσανγκ;CN;Asia;China;;Νάντσανγκ (KHN);KHN
Ναντσόνγκ;CN;Asia;China;;Ναντσόνγκ (NAO);NAO
Νανκίνγκ / Ναντζίνγκ;CN;Asia;China;;Νανκίνγκ / Ναντζίνγκ (NKG);NKG
Νανίνγκ;CN;Asia;China;;Νανίνγκ (NNG);NNG
Ναντόνγκ;CN;Asia;China;;Ναντόνγκ (NTG);NTG
Νανγιάνγκ;CN;Asia;China;;Νανγιάνγκ (NNY);NNY
Νίνγκμπο;CN;Asia;China;;Νίνγκμπο (NGB);NGB
Κιέμο;CN;Asia;China;;Κιέμο (IQM);IQM
Κινγκντάο;CN;Asia;China;;Κινγκντάο (TAO);TAO
Κικιχάρ;CN;Asia;China;;Κικιχάρ (NDG);NDG
Σάνια;CN;Asia;China;;Σάνια (SYX);SYX
Σαγκάη;CN;Asia;China;Pu Dong Airport;Σαγκάη - Pu Dong Airport (PVG);PVG
Σαγκάη;CN;Asia;China;Hongqiao Airport;Σαγκάη - Hongqiao Airport (SHA);SHA
Σαντού;CN;Asia;China;;Σαντού (SWA);SWA
Σενγιάνγκ;CN;Asia;China;Shenyang Airport;Σενγιάνγκ - Shenyang Airport (SHE);SHE
Σενζέν;CN;Asia;China;;Σενζέν (SZX);SZX
Shijiazhuang;CN;Asia;China;Daguocun;Shijiazhuang - Daguocun (SJW);SJW
Shizuoka;CN;Asia;China;Mt. Fuji Shizuoka Airport;Shizuoka - Mt. Fuji Shizuoka Airport (FSZ);FSZ
Σιμάο;CN;Asia;China;;Σιμάο (SYM);SYM
Σονγκ Παν;CN;Asia;China;Jiu Zhai Huang Long Airport;Σονγκ Παν - Jiu Zhai Huang Long Airport (JZH);JZH
Τατσένγκ;CN;Asia;China;;Τατσένγκ (TCG);TCG
Ταϊτσούνγκ;CN;Asia;China;Ching Chuan Kang Airport;Ταϊτσούνγκ - Ching Chuan Kang Airport (RMQ);RMQ
Ταϊγουάν;CN;Asia;China;;Ταϊγουάν (TYN);TYN
